observation_date,MEHOINUSA672N,Change
1985-01-01,60050,1.900559986424577
1986-01-01,62280,3.7135720233139047
1987-01-01,63060,1.2524084778420042
1988-01-01,63530,0.7453219156358992
1989-01-01,64610,1.6999842594050074
1990-01-01,63830,-1.2072434607645843
1991-01-01,61960,-2.9296569011436624
1992-01-01,61450,-0.8231116849580333
1993-01-01,61150,-0.4882017900732283
1994-01-01,61800,1.062959934587071
1995-01-01,63770,3.187702265372172
1996-01-01,64710,1.474047357691699
1997-01-01,66050,2.070777314170913
1998-01-01,68470,3.663890991672969
1999-01-01,70210,2.5412589455235945
2000-01-01,70020,-0.27061672126478253
2001-01-01,68870,-1.6423878891745236
2002-01-01,68310,-0.8131261797589606
2003-01-01,68350,0.058556580295721083
2004-01-01,68250,-0.1463057790782707
2005-01-01,69310,1.553113553113561
2006-01-01,70080,1.1109508007502544
2007-01-01,71210,1.6124429223744352
2008-01-01,68780,-3.412442072742594
2009-01-01,68340,-0.6397208490840356
2010-01-01,66730,-2.3558677202224154
2011-01-01,65750,-1.4686048254158535
2012-01-01,65740,-0.01520912547529063
2013-01-01,68220,3.772436872528151
2014-01-01,67360,-1.260627381999413
2015-01-01,71000,5.403800475059373
2016-01-01,73520,3.549295774647887
2017-01-01,74810,1.7546245919477732
2018-01-01,75790,1.3099852960834157
2019-01-01,81210,7.151339226810927
2020-01-01,79560,-2.0317694865164437
2021-01-01,79260,-0.37707390648566985
2022-01-01,77540,-2.1700731768862003
2023-01-01,80610,3.95924684034048
